SampleName	Condition
HUB_N_DMSO_1	HUB_N_DMSO
HUB_N_DMSO_2	HUB_N_DMSO
HUB_N_DMSO_3	HUB_N_DMSO
HUB_N_SA_1	HUB_N_SA
HUB_N_SA_2	HUB_N_SA
HUB_N_SA_3	HUB_N_SA
HUB_EGFR_T_DMSO_1	HUB_EGFR_T_DMSO
HUB_EGFR_T_DMSO_2	HUB_EGFR_T_DMSO
HUB_EGFR_T_DMSO_3	HUB_EGFR_T_DMSO
HUB_EGFR_T_SA_1	HUB_EGFR_T_SA
HUB_EGFR_T_SA_2	HUB_EGFR_T_SA
HUB_EGFR_T_SA_3	HUB_EGFR_T_SA
Tempus_EGFR_T_DMSO_1	Tempus_EGFR_T_DMSO
Tempus_EGFR_T_DMSO_2	Tempus_EGFR_T_DMSO
Tempus_EGFR_T_DMSO_3	Tempus_EGFR_T_DMSO
Tempus_EGFR_T_SA_1	Tempus_EGFR_T_SA
Tempus_EGFR_T_SA_2	Tempus_EGFR_T_SA
Tempus_EGFR_T_SA_3	Tempus_EGFR_T_SA
Tempus_KRAS_T_DMSO_1	Tempus_KRAS_T_DMSO
Tempus_KRAS_T_DMSO_2	Tempus_KRAS_T_DMSO
Tempus_KRAS_T_DMSO_3	Tempus_KRAS_T_DMSO
Tempus_KRAS_T_SA_1	Tempus_KRAS_T_SA
Tempus_KRAS_T_SA_2	Tempus_KRAS_T_SA
Tempus_KRAS_T_SA_3	Tempus_KRAS_T_SA
